subj_idx,species,coh,rt,response,subjectID
8,rat,0.9,0.727464,1,381
8,rat,0.8,1.03745,1,381
8,rat,0.7,1.227543,1,381
8,rat,0.9,0.827457,1,381
8,rat,0.6,0.767549,1,381
8,rat,0.8,1.127515,1,381
8,rat,0.6,0.787542,1,381
8,rat,0.6,0.727475,0,381
8,rat,0.8,0.847517,1,381
8,rat,0.9,1.357537,1,381
8,rat,1,1.127435,1,381
8,rat,0.8,1.057504,1,381
8,rat,0.7,1.097464,1,381
8,rat,0.9,1.137457,1,381
8,rat,0.6,1.057475,1,381
8,rat,0.6,0.797594,1,381
8,rat,0.8,0.637483,1,381
8,rat,1,0.727514,1,381
8,rat,0.7,1.047567,1,381
8,rat,0.8,1.027552,1,381
8,rat,1,0.787514,1,381
8,rat,0.9,0.857474,1,381
8,rat,0.9,0.867363,1,381
15,rat,0.8,1.257509,1,382
15,rat,0.4,1.047493,1,382
15,rat,0.5,1.317539,1,382
15,rat,0.5,0.83746,0,382
15,rat,0.8,0.957472,1,382
15,rat,1,1.487529,1,382
15,rat,0.6,1.72758,1,382
15,rat,0.7,1.10747,0,382
15,rat,0.5,1.567305,0,382
15,rat,0.9,0.877448,1,382
15,rat,1,1.040729,1,382
15,rat,0.4,1.107538,0,382
15,rat,0.6,0.937549,0,382
15,rat,0.5,0.977492,0,382
15,rat,0.8,0.957517,1,382
15,rat,0.5,1.347326,0,382
15,rat,0.4,1.627411,1,382
15,rat,0.7,0.85746,0,382
15,rat,0.5,1.147011,1,382
15,rat,0.6,0.887553,0,382
15,rat,1,1.636834,0,382
